Nested Sampling Global Log-Evidence           :   -0.944090737733925948E+03  +/-    0.238723220000566783E+00
Nested Importance Sampling Global Log-Evidence:   -0.944218853419994616E+03  +/-    0.236199224407916061E-01

Dim No.       Mean        Sigma
   1   -0.148558414980500597E+01    0.743817624647225874E-02
   2    0.226049756770534360E+01    0.765978242502925958E-02
   3   -0.712312846175295555E+00    0.509439227559139660E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.148569095269333973E+01
   2    0.226093235398381864E+01
   3   -0.712558481747299410E+00

MAP Parameters
Dim No.        Parameter
   1   -0.148569095269333973E+01
   2    0.226093235398381864E+01
   3   -0.712558481747299410E+00
